as_of_date,ticker,value_score,quality_score,growth_score,alt_momentum_score,peer_relative_score,proxy_inferred_score,pead_score,risk_penalty,liquidity_penalty,final_alpha_score,confidence,fundamental_confidence,value_confidence,alt_confidence,peer_confidence,proxy_confidence,structural_anomaly_penalty,valuation_context_strength,valuation_method_strength,strongest_drivers,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,asset_turnover,debt_to_ebitda,valuation_score_raw,nowcast_source_mix,nowcast_direct_source_count,nowcast_proxy_source_count,nowcast_proxy_share,expected_kpi_surprise,probability_post_earnings_outperform,deviation_vs_consensus,expected_stock_reaction,historical_backtest,pead_raw,next_earnings_date,days_to_earnings,gate_confidence,gate_leverage,gate_event_risk,eligible,gate_reason
2026-04-02,DELL,0.4886364798553455,0.3942737764368618,0.6053607999999999,0,0,0,0,0.20453590000000002,0,0.08396104362348719,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,growth(0.61); value(0.49); quality(0.39),0.03535,1.478052,0.394336,0.075323,1.120964,2.745359,0.5,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,NFLX,0.07102327931289107,0.4719500528816115,0.3711124,0,0,0,0,0,0,0.2161735702093242,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,quality(0.47); growth(0.37); value(0.07),0.126397,0.801384,0.358901,0.209394,0.812688,0.480778,0.091667,none,,,,,,,,No setup history in nowcast output,,2026-07-15,104,true,true,true,true,
2026-04-02,DHI,0.5909091838842764,0.29912399269283896,0.40100040000000003,0.5069026269425965,0.5069026269425964,0.45164652617178586,0,0.08,0,0.31093186324488614,0.8305022971014494,1,0.9840000000000001,0.4168833333333334,0.53165,0.7208660000000001,0,1,0.92,value(0.59); alt_momentum(0.51); peer_relative(0.51),0.007612,0.994889,0.124103,0.095867,0.965583,1.332693,0.6,hybrid,1,2,0.6667000000000001,0.44270000000000004,0.7983,0.4427,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-20,109,true,true,true,true,
2026-04-02,JBL,0.8636367355371055,0.560734310296697,0.25575559999999997,0,0,0,0,0.08952610000000001,0,0.2045020693338187,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.86); quality(0.56); growth(0.26),-0.038029,0.639389,0.358756,0.039326,1.607183,1.595261,0.866667,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,XYZ,0.7954545919421383,0.1005373748146851,0.6453352,0,0,0.011791146868180138,0,0.1125447,0,0.1370628861436332,0.8305022971014494,1,0.9840000000000001,0.4168833333333334,0.53165,0.7208660000000001,0,1,0.92,value(0.80); growth(0.65); quality(0.10),0.113338,6.81092,0.118542,0.100219,0.6117,2.625447,0.8,hybrid,1,2,0.6667000000000001,-0.33039999999999997,0.221,-0.3304,Likely negative post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,,,true,true,true,true,
2026-04-02,EME,0.6590913274792438,0.7400686998483438,0.214874,0,0,0,0,0.08,0,0.23299996170697718,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,quality(0.74); value(0.66); growth(0.21),0.1532,0.383985,0.382697,0.070016,1.828188,0.266792,0.666667,none,,,,,,,,No setup history in nowcast output,,2026-07-29,118,true,true,true,true,
2026-04-02,DASH,0.18368893552524193,0.1451600817007638,0.7109028000000001,0,0,0,0,0.07350539999999998,0,0.14045533161173046,0.6335869565217391,1,0.929,0,0,0,0,0.78,0.92,growth(0.71); value(0.18); quality(0.15),0.277257,3.430239,0.080447,0.133119,0.697747,2.235054,0.201829,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,CTVA,0.5424646494398524,0.15634888224680188,0.47709999999999997,0.5783218070419942,0.5783218070419942,0.5118400052115565,0,0,0,0.3869503153280448,0.8245240362318841,1,0.929,0.4168833333333334,0.53165,0.7208660000000001,0,0.78,0.92,alt_momentum(0.58); peer_relative(0.58); value(0.54),-0.001032,1.19275,0.084135,0.161772,0.406138,0.675039,0.552632,hybrid,1,2,0.6667000000000001,0.5407,0.8851,0.5407,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,,,true,true,true,true,
2026-04-02,LULU,0.7696931205242908,0.5717164647218707,0.20870320000000003,0.09132504141576167,0.09132504141576167,0.06553532458226113,0,0.08,0,0.22532154784785546,0.8245240362318841,1,0.929,0.4168833333333334,0.53165,0.7208660000000001,0,0.78,0.92,value(0.77); quality(0.57); growth(0.21),0.110347,0.411411,0.314791,0.083014,1.31287,0.664405,0.774811,hybrid,1,2,0.6667000000000001,-0.3477,0.4033,-0.3477,Mixed / neutral expected reaction,"n=1, hit_rate=100.00%, avg_5d=-5.80%, similar5_avg_5d=-5.80%",,,,true,true,true,true,
2026-04-02,INCY,0.8670454847623899,0.630584051587445,0.11626880000000002,0.5110573509689974,0.5110573509689974,0.4464349695449659,0,0,0,0.44602051371069584,0.8841067028985509,1,0.9840000000000001,0.6254166666666667,0.7012499999999999,0.7440500000000001,0,1,0.92,value(0.87); quality(0.63); alt_momentum(0.51),0.148396,0.142276,0.491915,0.258621,0.738899,0.028141,0.87,hybrid,2,2,0.5,0.39490000000000003,0.8301000000000001,0.3949,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-27,116,true,true,true,true,
2026-04-02,EFX,0.6346655375760142,0.07759550843999087,0.44145959999999995,0.7547660995556024,0.7547660995556024,0.7006612162470277,0,0.12952910000000004,0,0.29675377522506174,0.8245240362318841,1,0.929,0.4168833333333334,0.53165,0.7208660000000001,0,0.78,0.92,alt_momentum(0.75); peer_relative(0.75); proxy_inferred(0.70),0.058485,1.045164,0.08539,0.186731,0.512002,2.795291,0.642784,hybrid,1,2,0.6667000000000001,1.0291,0.9764,1.0291,Likely positive post-earnings drift,Insufficient historical setups (need outcomes + historical alt data).,,2026-07-20,109,true,true,true,true,
2026-04-02,DIS,0.5369316961518873,0.04228124283123612,0.4635416,0,0,0,0,0.08424680000000002,0,0.08284145717962248,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.54); growth(0.46); quality(0.04),0.045094,1.11376,0.073312,0.10672,0.478067,2.342468,0.547222,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,ADBE,0.8100652704397112,0.592714182844594,0.0822072,0,0,0,0,0,0,0.2591249404120115,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.81); quality(0.59); growth(0.08),0.105223,0.100295,0.555991,0.414489,0.8058,0.698026,0.814286,none,,,,,,,,No setup history in nowcast output,,,,true,true,true,true,
2026-04-02,DXCM,0.4155841100945204,0.3090905390451995,0.27740600000000004,0,0,0,0,0,0,0.18604217655165592,0.6395652173913045,1,0.9840000000000001,0,0,0,0,1,0.92,value(0.42); quality(0.31); growth(0.28),0.170136,0.523379,0.217608,0.23106,0.735343,1.194311,0.428571,none,,,,,,,,No setup history in nowcast output,,2026-07-28,117,true,true,true,true,
