ticker,report_date,revenue_surprise_pct,post_earnings_return_5d
HPE,2026-02-04,0.054242,0.024527
HPQ,2025-08-04,-0.125616,0.021626
HPQ,2025-11-04,-0.011206,-0.046646
HPQ,2026-02-04,-0.00161,-0.003027
HWM,2025-05-05,0.094008,0.017622
HWM,2025-08-04,0.033269,-0.006409
HWM,2025-11-04,0.038024,0.01952
HWM,2026-02-04,0.076592,0.107244
IBKR,2023-01-18,0.01,0.01
IBKR,2023-04-18,0.02,0.03
IBKR,2023-07-18,0.01,0.02
IBKR,2023-10-17,0.02,0.03
IBKR,2024-01-16,0.01,0.01
IBKR,2024-04-16,0.01,0.02
IBKR,2024-07-16,0.00,0.00
IBKR,2024-10-15,0.01,0.01
IBKR,2025-01-21,0.01,0.02
IBKR,2025-04-16,0.00,0.00
IBKR,2025-07-17,0.01,0.01
IBKR,2025-10-15,0.01,0.01
IDXX,2025-05-05,0.017217,0.072537
IDXX,2025-08-04,0.078079,-0.044919
IDXX,2025-11-04,0.064663,-0.013363
IDXX,2026-02-04,0.031169,0.009005
INCY,2025-05-05,0.119043,-0.020287
INCY,2025-08-04,0.047155,0.014736
INCY,2025-11-04,0.337436,0.050913
INCY,2026-02-04,-0.084575,-0.036647
INTC,2025-05-05,18.402985,0.094228
INTC,2025-08-04,7.264463,0.058974
INTC,2025-11-04,22,0.022954
INTC,2026-02-04,0.809409,-0.006379
INTU,2025-08-04,0.047163,-0.100373
INTU,2025-11-04,0.013489,-0.009236
INTU,2026-02-04,0.058369,-0.10311
ISRG,2025-05-05,0.030517,0.055677
ISRG,2025-08-04,0.116037,-0.023812
ISRG,2025-11-04,0.18712,0.061894
ISRG,2026-02-04,0.098567,0.036845
IVZ,2025-05-05,0.001391,0.087927
IVZ,2025-08-04,-0.00107,-0.02619
IVZ,2025-11-04,0.003773,0.027539
IVZ,2026-02-04,0.00071,-0.014903
JBHT,2025-05-05,0.000219,0.116664
JBHT,2025-08-04,0.000052,-0.027078
JBHT,2025-11-04,0.002066,-0.024163
JBHT,2026-02-04,0.000477,0.011485
JBL,2025-07-05,0.000978,-0.021694
JBL,2025-10-05,0.001169,-0.011375
JBL,2026-01-04,0.000436,0.031955
KLAC,2025-05-05,0.000403,0.0969
KLAC,2025-08-04,0.000967,-0.005941
KLAC,2025-11-04,0.000224,-0.00217
KLAC,2026-02-04,0.000059,0.131791
KO,2025-05-05,0.000195,-0.030265
KO,2025-08-04,0.000393,0.025957
KO,2025-11-04,0.000532,0.042965
KO,2026-02-04,0.000269,0.01616
LII,2025-05-05,0.000361,0.058285
LII,2025-08-04,0.001391,-0.030176
LII,2025-11-04,0.000202,-0.009692
LII,2026-02-04,-0.000574,0.042991
LLY,2025-05-05,-0.000573,-0.080211
LLY,2025-08-04,0.001289,-0.173966
LLY,2025-11-04,0.001915,0.090157
LLY,2026-02-04,0.000914,-0.083017
LRCX,2025-05-05,0.000406,0.11284
LRCX,2025-08-04,0.001036,0.03648
LRCX,2025-11-04,0.000327,0.021826
LRCX,2026-02-04,0.00087,0.120793
LULU,2025-06-04,0.000038,-0.247352
LULU,2025-09-04,0.000874,-0.195594
LULU,2025-12-05,0.00171,0.078733
LULU,2026-03-07,0.000483,-0.058023
MA,2025-05-05,0.00048,0.030564
MA,2025-08-04,0.000312,0.006634
MA,2025-11-04,0.000152,0.010131
MA,2026-02-04,0.001226,-0.029014
MAS,2025-05-05,-0.000481,0.119819
MAS,2025-08-04,0.002071,-0.003608
MAS,2025-11-04,-0.000571,-0.012052
MAS,2026-02-04,0.000321,0.070998
META,2025-05-05,0.002311,0.067015
META,2025-08-04,0.002096,-0.013524
META,2025-11-04,-0.008434,-0.000383
META,2026-02-04,0.0008,-0.000448
MNST,2025-05-05,-0.000268,0.007388
MNST,2025-08-04,0.00041,0.054847
MNST,2025-11-04,0.000922,0.07537
MNST,2026-02-04,-0.00045,-0.007981
MO,2025-05-05,0.000352,-0.048772
